Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
הבריחה הגדולה,The Great Escape,"Adventure, Drama, History, Thriller, War",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807efb3a,https://www.imdb.com/title/tt0057115,תיק מסמכים,15/08/1963,12/11/1963," בקשת ""וינייטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הבריחה הגדולה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d6j5," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אתה חי רק פעמיים,You Only Live Twice,"Action, Adventure, Thriller",1967,"United Kingdom, Japan",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807af27d,https://www.imdb.com/title/tt0062512,תיק מסמכים,08/08/1967,16/08/1967," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אתה חי רק פעמיים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000chah," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אלמר גנטרי,Elmer Gantry,Drama,1960,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807bbf0f,https://www.imdb.com/title/tt0053793,תיק מסמכים,30/08/1960,28/02/1961," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אלמר גנטרי"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cm6n," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
זוהר בדשא,Splendor in the Grass,"Drama, Romance",1961,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a9065,https://www.imdb.com/title/tt0055471,תיק מסמכים,30/11/1961,05/08/1962," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""זוהר בדשא"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cev2," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
"מטורף, מטורף, מטורף העולם","It's a Mad, Mad, Mad, Mad World","Action, Adventure, Comedy, Crime",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ada2f,https://www.imdb.com/title/tt0057193,תיק מסמכים,03/09/1964,13/09/1964," בקשת ""יוניטד ארטיסטס אוף ישראל, אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מטורף, מטורף, מטורף העולם"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה. ",ISA-MOIN-InteriorFilmCensor-000cgp1," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אדם לכל עת,A Man for All Seasons,"Biography, Drama, History",1966,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680791261,https://www.imdb.com/title/tt0060665,תיק מסמכים,03/05/1967,25/06/1967," בקשת ""חב' אלברט ד. מטלון ושות'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אדם לכל עת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c5fa," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הסתערות חיל הפרשים,The Charge of the Light Brigade,"Drama, History, War",1968,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680797342,https://www.imdb.com/title/tt0062790,תיק מסמכים,25/07/1968,30/09/1968," בקשת ""יונייטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הסתערות חיל הפרשים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c7tn," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
השוד המושלם,The Thomas Crown Affair,"Crime, Drama, Romance, Thriller",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b96c7,https://www.imdb.com/title/tt0063688,תיק מסמכים,22/08/1968,01/01/1969," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""השוד המושלם"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cl6q," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בוני וקלייד,Bonnie and Clyde,"Action, Biography, Crime, Drama",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b958c,https://www.imdb.com/title/tt0061418,תיק מסמכים,17/10/1967,30/01/1968," בקשת ""וורנר ברוס- סבן ארטס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בוני וקלייד"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cl5r," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מרד הנעורים,Rebel Without a Cause,Drama,1955,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807dd0f5,https://www.imdb.com/title/tt0048545,תיק מסמכים,27/02/1956,22/05/1963," בקשת ""וורנר ברוס פרסט נשיונל פיקצ'רס אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מרד הנעורים"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרשיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cz6z," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
המרד על הבאונטי,Mutiny on the Bounty,"Adventure, Drama, History, Romance",1962,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ad89e,https://www.imdb.com/title/tt0056264,תיק מסמכים,03/12/1962,01/02/1963," בקשת ""טוונטיס סנטורי פוקס אימפורט קורפורשיון"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""המרד על הבאונטי"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cgnm," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
ריו בראבו,Rio Bravo,"Action, Drama, Western",1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807a8ed0,https://www.imdb.com/title/tt0053221,תיק מסמכים,05/05/1959,04/06/1959," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ריו בראבו"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cetj," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
דרום פסיפיק,South Pacific,"Musical, Romance, War",1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807bbebf,https://www.imdb.com/title/tt0052225,תיק מסמכים,12/09/1960,08/12/1960," בקשת ""טוונטיס סנטורי פוקס אימפורט קורפוריישן"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""דרום פסיפיק"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cm6e," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
צייד בודד הוא הלב,The Heart Is a Lonely Hunter,Drama,1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807b9679,https://www.imdb.com/title/tt0063050,תיק מסמכים,17/09/1968,30/09/1968," בקשת ""ורנר ברוס - סבן ארטס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""ציד בודד הוא הלב"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cl6i," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
תחנת זברה אינה עונה,Ice Station Zebra,"Adventure, Thriller",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e218f,https://www.imdb.com/title/tt0063121,תיק מסמכים,29/12/1968,25/05/1969," בקשת ""יצפילם בע""מ מפיץ סרטי מטרו- גולדוין- מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""תחנת ""זברה"" אינה עונה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d15n," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
יד שמאל הנוקמת,The Left Handed Gun,Western,1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2615,https://www.imdb.com/title/tt0051849,תיק מסמכים,27/08/1958,03/10/1958," בקשת ""וורנר ברוס פירסט נשיונל פיקטורס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""יד שמאל הנוקמת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cuz4," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," מטה המזכירות הביטחונית שליד השר לביטחון הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
על כלבים וגנבים,One Hundred and One Dalmatians,"Animation, Adventure, Comedy, Family",1961,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d4d66,https://www.imdb.com/title/tt0055254,תיק מסמכים,03/05/1962,17/09/1962," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""על כלבים וגנבים"" (""101 כלבים דלמטיים"") בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cvy1," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
חופשה בלונדון,Indiscreet,"Comedy, Romance",1958,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807cb891,https://www.imdb.com/title/tt0051773,תיק מסמכים,28/07/1958,29/10/1958," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""חופשה בלונדון"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cs9i," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מבצע בורמה,Never So Few,"Drama, War",1959,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807cf6e8,https://www.imdb.com/title/tt0053108,תיק מסמכים,30/04/1962,28/05/1962," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מבצע בורמה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ctt8," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
לאסי שובי הביתה,Lassie Come Home,"Adventure, Drama, Family",1943,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068078b89a,https://www.imdb.com/title/tt0036098,תיק מסמכים,17/04/1958,23/04/1958," בקשת ""לאסי שובי הביתה"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מטרו גולדן מאיר"" בישראל: הבקשה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000c36x," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הדיקטטור הגדול,The Great Dictator,"Comedy, Drama, War",1940,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2528,https://www.imdb.com/title/tt0032553,תיק מסמכים,30/07/1955,16/04/1974," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הדיקטטור הגדול"" בישראל: הבקשה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cuyd," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
חוות החיות,Animal Farm,"Animation, Drama",1954,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680809b4a,https://www.imdb.com/title/tt0047834,תיק מסמכים,25/02/1955,02/10/1956," התיק הינו תיק של משרד הפנים, המועצה לביקורת סרטים ומחוזות. בתיק- תכתובות על הסרט 'חוות החיות' - האם להתירו להקרנה; טופס בקשה; תקציר הסרט בעברית ובאנגלית; קטעי עיתונות החווים דעתם על הסרט. ",ISA-MOIN-InteriorFilmCensor-000dgpq," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
נפלאות התבונה,A Beautiful Mind,"Biography, Drama",2001,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068092cbdb,https://www.imdb.com/title/tt0268978,תיק מסמכים,11/12/2001,14/01/2002," בקשה לרישיון הצגת הסרט ""נפלאות התבונה"" (""A Beautiful Mind"") בישראל: הבקשה שהוגשה למועצה לביקורת סרטים ע""י נח תקשורת בע""מ, תקציר עלילת הסרט, תמונות מתוך הסרט, פרוטוקול מישיבת מליאת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000gob2," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות "," בריאות הנפש (פסיכיאטריה),המלחמה הקרה ",צנזורה לסרטים ומחזות,,,
צלילי המוסיקה,The Sound of Music,"Biography, Drama, Family, Musical, Romance",1965,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068080d0be,https://www.imdb.com/title/tt0059742,תיק מסמכים,01/01/1948,03/08/1966," התכתבויות וחליפת מסמכים מהמועצה לביקורת סרטים ומחזות במשרד הפנים בנוגע להצגת הסרט ""צלילי המוסיקה"" (""The Sound of Music"")בישראל: הבקשה שהוגשה ע""י טוונטיס סנטורי פוקס אימפורט קורפורשיון, חוות דעת חברי המועצה, הרישיון שניתן ותלונת ציבור בנושא. ",ISA-MOIN-InteriorFilmCensor-000di2b," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
הזוג המוזר,The Odd Couple,Comedy,1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680810bee,https://www.imdb.com/title/tt0063374,תיק מסמכים,20/05/1968,03/06/1968," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הזוג המוזר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000djj2," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
עליצות באקפולקו,Fun in Acapulco,"Comedy, Music",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081e101,https://www.imdb.com/title/tt0057083,תיק מסמכים,31/12/1963,14/01/1964," בקשת ""פאראמונט"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""עליצות באקפולקו"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000dovg," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
רתיעה,Repulsion,"Drama, Horror, Thriller",1965,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081e2e1,https://www.imdb.com/title/tt0059646,תיק מסמכים,03/08/1967,10/08/1967," בקשת נסים שלום מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""רתיעה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000dox4," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
האספן,The Collector,"Drama, Thriller",1965,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f6b56,https://www.imdb.com/title/tt0059043,תיק מסמכים,13/05/1965,06/01/1966," בקשת ""א.ד. מטלון ושות' בעמ'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""האספן"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. 

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000d9ap," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
36 שעות,36 Hours,"Thriller, War",1964,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d736e,https://www.imdb.com/title/tt0057809,תיק מסמכים,01/02/1965,29/03/1965," בקשת ""יצפילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""36 שעות"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה.
 ",ISA-MOIN-InteriorFilmCensor-000cwvy," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
פנטסיה,Fantasia,"Animation, Family, Fantasy, Music, Musical",1940,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d2758,https://www.imdb.com/title/tt0032455,תיק מסמכים,20/03/1977,29/05/1977," בקשת ""מרקו פילם"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""פנטזיה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000cv0b," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
55 יום בפקינג,55 Days at Peking,"Action, Adventure, Drama, History, War",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d4e07,https://www.imdb.com/title/tt0056800,תיק מסמכים,21/05/1963,09/06/1963," בקשת ""סרטי חן בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""55 יום בפקינג"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000cvym," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מובי דיק,Moby Dick,"Adventure, Drama",1956,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081c086,https://www.imdb.com/title/tt0049513,תיק מסמכים,04/09/1956,15/05/1977," בקשת ""וורנר ברוס. פירסט נשיונל פיקטורס אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מובי דיק"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000do2i," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הקרב על בריטניה,Battle of Britain,"Action, Drama, History, War",1969,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b07170680807347,https://www.imdb.com/title/tt0064072,תיק מסמכים,01/05/1968,09/09/1969," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הקרב על בריטניה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000dfpk," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
חתולה על גג פח לוהט,Cat on a Hot Tin Roof,Drama,1958,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807f6564,https://www.imdb.com/title/tt0051459,תיק מסמכים,27/11/1958,24/12/1958," בקשת ""מטרו-גולדוין-מאיר"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""חתולה על גג פח לוהט"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן.

העלון מופיע בתיק בהתאם לסעיף 27א' לחוק זכויות יוצרים התשס""ח 2007. בעל זכויות היוצרים יכול ליצור קשר באתר ארכיון המדינה ולבקש הפסקת השימוש ביצירה. ",ISA-MOIN-InteriorFilmCensor-000d95d," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
גולדפינגר,Goldfinger,"Action, Adventure, Thriller",1964,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d67f4,https://www.imdb.com/title/tt0058150,תיק מסמכים,03/09/1948,22/08/1968," התכתבויות מהמועצה לביקורת הסרטים בעניין השחקן גרט פרובה, מכתב תמיכה בגרט פרובה מסטלה בלומנאו ועוד. ",ISA-MOIN-InteriorFilmCensor-000cwlv," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",,צנזורה לסרטים ומחזות,,,
