Name,original_title,genre,year,origin country,Archive Link,IMDB Link,Case type,Material period from,Material period up to,Description,File number to quote,Creating body position,Subjects,Bodies,Place,Events,Persons
הפיתוי האחרון של ישו,The Last Temptation of Christ,Drama,1988,"Canada, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068043db93,https://www.imdb.com/title/tt0095497,תיק מסמכים,01/04/1988,31/03/1989,התיק מכיל: סרטים - הפיתוי האחרון של ישו,ISA-MOIN-InteriorFilmCensor-0002lum," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," פרקליטות המדינה - מחלקת הבג""צים,האוניברסיטה העברית בירושלים,משרד הפנים,הארץ (עיתון),צנזורה לסרטים ומחזות ",,,
הפנתר הורוד,The Pink Panther,"Comedy, Crime, Romance",1963,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081e061,https://www.imdb.com/title/tt0057413,תיק מסמכים,09/10/1963,16/01/1964," בקשת ""יוניטד ארטיסטס אוף ישראל אינק."" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הפנתר הוורוד"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000douw," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אי המסתורין,Mysterious Island,"Adventure, Family, Fantasy, Sci-Fi",1961,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081c497,https://www.imdb.com/title/tt0055207,תיק מסמכים,07/08/1961,10/05/1962," בקשת ""אלברט ד. מטלון ושות' בעמ'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אי המסתורין"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000do62," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
קאט באלו,Cat Ballou,"Comedy, Romance, Western",1965,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b0717068081e1a3,https://www.imdb.com/title/tt0059017,תיק מסמכים,29/08/1965,30/12/1973," בקשת ""חב' א.ד. מטלון ושות' בעמ'"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""קאט באלו"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000dow2," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
אוליבר,Oliver!,"Drama, Family, Musical",1968,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ce64f,https://www.imdb.com/title/tt0063385,תיק מסמכים,07/11/1968,02/02/1969," בקשת ""א.ד. מטלון ושות' בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""אוליבר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ctem," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
מצחיקונת,Funny Girl,"Biography, Comedy, Drama, Musical, Romance",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d0ea9,https://www.imdb.com/title/tt0062994,תיק מסמכים,18/12/1968,29/12/1968," בקשת ""א.ד. מטלון ושות' בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""מצחיקונת"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cuee," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
לחופש נולדה,Born Free,"Adventure, Drama, Family",1966,United Kingdom,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ce3cd,https://www.imdb.com/title/tt0060182,תיק מסמכים,08/05/1966,27/05/1966," בקשת ""א.ד. מטלון ושות' בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""לחופש נולדה"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000ctcc," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
החונק מבוסטון,The Boston Strangler,"Crime, Drama, Mystery, Thriller",1968,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807ce69d,https://www.imdb.com/title/tt0062755,תיק מסמכים,15/11/1968,02/11/1969," בקשת ""טוונטיס סנטורי פוקס ת""א"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""החונק מבוסטון"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cteu," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
פרנקי וג'וני,Frankie and Johnny,"Comedy, Musical, Romance",1966,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807abf2b,https://www.imdb.com/title/tt0060429,תיק מסמכים,21/11/1965,20/03/1966," בקשת ""יוניטד ארטיסטס אוף ישראל"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""פרנקי וג'וני"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cg0f," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בדם קר,In Cold Blood,"Biography, Crime, Drama, History",1967,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807e46af,https://www.imdb.com/title/tt0061809,תיק מסמכים,29/02/1968,10/06/1969," בקשת ""א.ד. מטלון ושות בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בדם קר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000d22f," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
בן המלך והעני,The Prince and the Pauper,"Adventure, Drama, Family, Fantasy",1937,United States,https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d4dbd,https://www.imdb.com/title/tt0029440,תיק מסמכים,23/05/1963,01/08/1963," בקשת ""פורום פילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""בן המלך והעני"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cvyi," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
הנשרים פשטו עם שחר,Where Eagles Dare,"Action, Adventure, War",1968,"United Kingdom, United States",https://www.archives.gov.il/archives/Archive/0b07170680319da6/File/0b071706807d0e5b,https://www.imdb.com/title/tt0065207,תיק מסמכים,11/12/1968,05/01/1969," בקשת ""יצפילם בע""מ"" מהמועצה לביקורת סרטים ומחזות לרישיון הצגת הסרט ""הנשרים פשטו עם שחר"" בישראל: תקציר הסרט, הבקשה, חוות הדעת של חברי המועצה, פרוטוקול מישיבת המועצה, והרישיון שניתן. ",ISA-MOIN-InteriorFilmCensor-000cue6," משרד הפנים/משרד הפנים - לשכת המנכ""ל/צנזורה לסרטים ומחזות ",," משרד הפנים,המועצה לביקורת סרטים,צנזורה לסרטים ומחזות ",,,
